"warddiv13","warddiv19","pop10","frac_of_g1","frac_of_g2"
"3924","3924",1236,1,1
"3925","3925",923,1,1
"3926","3926",882,1,1
"3927","3927",1009,1,1
"3928","3928",1030,1,1
"3929","3929",663,1,1
"3930","3930",813,1,1
"3931","3931",864,1,1
"3932","3932",922,1,1
"3933","3933",795,1,1
"3934","3934",914,1,1
"3935","3935",934,1,1
"3936","3936",789,1,1
"3937","3937",919,1,1
"3938","3938",1056,1,1
"3939","3939",783,1,1
"3940","3940",1331,1,1
"3941","3941",855,1,1
"3942","3942",730,1,1
"3943","3943",644,1,1
"3944","3944",1019,1,1
"3945","3945",1093,1,1
"3946","3946",973,1,1
"4001","4001",715,1,1
"4002","4002",736,1,1
"4003","4003",1039,1,1
"4003","4004",0,0,0
"4004","4004",1212,1,1
"4005","4005",1041,1,1
"4006","4006",996,1,1
"4007","4007",842,1,1
"4008","4008",709,1,1
"4009","4009",945,1,1
"4010","4010",886,1,1
"4011","4011",998,1,1
"4012","4012",857,1,1
"4013","4013",1040,1,1
"4014","4014",1222,1,1
"4015","4015",766,1,1
"4016","4016",990,1,1
"4017","4017",828,1,1
"4018","4018",761,1,0.919082125603865
"4019","4017",0,0,0
"4019","4018",67,0.0523028883684621,0.0809178743961353
"4019","4019",1214,0.947697111631538,1
"4020","4020",959,1,1
"4021","4021",1022,1,1
"4022","4022",784,1,1
"4023","4023",1027,1,1
"4024","4024",1362,1,1
"4025","4025",1018,1,1
"4026","4026",980,1,1
"4027","4027",833,1,1
"4028","4028",1288,1,1
"4029","4029",976,1,1
"4030","4030",1132,1,1
"4030","4049",0,0,0
"4031","4031",908,1,1
"4032","4032",1117,1,1
"4033","4033",837,1,1
"4034","4034",345,1,1
"4035","4035",871,1,1
"4036","4036",960,1,1
"4037","4037",1176,1,1
"4038","4038",957,1,1
"4039","4039",854,1,1
"4040","4040",1312,1,1
"4041","4041",892,1,1
"4042","4042",846,1,0.94
"4043","4043",722,1,1
"4044","4044",815,1,1
"4045","4042",54,0.0555555555555556,0.06
"4045","4045",918,0.944444444444444,1
"4046","4046",766,1,1
"4047","4047",169,1,1
"4048","4048",933,1,1
"4049","4049",807,1,1
"4050","4049",0,0,0
"4050","4050",718,1,1
"4051","4051",928,1,1
"4101","4101",907,1,1
"4102","4102",1017,1,1
"4103","4103",827,1,1
"4104","4104",1043,1,1
"4105","4105",651,1,1
"4106","4106",960,1,1
"4107","4107",855,1,1
"4108","4108",1103,1,1
"4109","4109",884,1,1
"4110","4110",853,1,1
"4111","4111",874,1,1
"4112","4112",854,1,1
"4113","4113",1004,1,1
"4114","4114",879,1,1
"4115","4115",918,1,1
"4116","4116",692,1,1
"4117","4117",687,0.991341991341991,1
"4117","6512",6,0.00865800865800866,0.00166991372112441
"4118","4118",778,1,1
"4119","4119",769,1,1
"4120","4120",891,1,1
"4121","4121",823,1,1
"4122","4122",849,1,1
"4123","4123",863,1,1
"4124","4124",900,1,1
"4125","4125",1046,1,1
"4126","4126",813,1,1
"4201","4201",1666,1,1
"4202","4202",1050,1,1
"4203","4203",949,1,0.831726555652936
"4204","4203",146,0.111535523300229,0.127957931638913
"4204","4204",1163,0.888464476699771,1
"4205","4205",1553,1,1
"4206","4206",1253,1,1
"4207","4203",46,0.0367118914604948,0.0403155127081507
"4207","4207",1207,0.963288108539505,1
"4208","4208",1436,1,1
"4209","4209",1166,1,1
"4210","4210",1385,1,1
"4211","4211",1566,1,1
"4212","4212",1127,1,1
"4213","4213",1693,1,1
"4214","4214",1494,1,1
"4215","4215",1604,1,1
"4216","4216",1309,1,1
"4217","4217",1130,1,1
"4218","4218",1381,1,1
"4219","4219",1524,1,1
"4220","4220",1431,1,1
"4221","4221",952,1,1
"4222","4222",1440,1,1
"4223","4223",874,1,1
"4224","4224",1309,1,1
"4225","4225",846,1,1
"4301","4301",623,1,1
"4302","4302",1146,1,1
"4303","4303",1122,1,1
"4304","4304",1123,1,1
"4305","4305",1014,1,1
"4306","4306",1041,1,1
"4307","4307",1421,1,1
"4308","4308",1087,1,1
"4309","4309",723,1,1
"4310","4310",541,1,1
"4311","4311",742,1,1
"4312","4312",895,1,1
"4313","4313",751,1,1
"4314","4314",671,1,1
"4315","4315",605,1,1
"4316","4316",658,1,1
"4317","4317",768,1,1
"4318","4318",1340,1,1
"4319","4319",1179,1,1
"4320","4320",959,1,1
"4321","4321",708,1,1
"4322","4322",347,1,1
"4323","4323",454,1,1
"4324","4324",618,1,1
"4325","4325",815,1,1
"4401","4401",793,1,1
"4402","4402",825,1,1
"4403","4403",623,1,1
"4404","4404",749,1,1
"4405","4405",591,1,1
"4406","4406",772,1,1
"4407","4407",835,1,1
"4408","4408",565,1,1
"4409","4409",897,1,1
"4410","4410",484,1,1
"4411","4411",995,1,1
"4412","4412",448,1,1
"4413","4413",632,0.843791722296395,1
"4413","4416",117,0.156208277703605,0.183673469387755
"4414","4414",721,1,1
"4415","4415",736,1,1
"4416","4416",520,1,0.816326530612245
"4417","4417",508,1,1
"4418","4418",610,1,1
"4419","4419",715,1,1
"4501","4501",1083,1,1
"4502","4502",1092,1,1
"4503","4503",1467,1,1
"4504","4504",1183,1,1
"4505","4505",1138,1,1
"4506","4506",1056,1,1
"4507","4507",854,1,1
"4508","4508",899,1,1
"4509","4509",1124,1,1
"4510","4510",1031,1,1
"4511","4511",1126,1,1
"4512","4501",0,0,0
"4512","4512",685,1,1
"4513","4513",936,1,1
"4514","4514",245,1,1
"4515","4515",1184,1,1
"4516","4516",1055,1,1
"4517","4517",1289,1,1
"4518","4518",819,1,1
"4519","4519",1078,1,1
"4520","4520",972,1,1
"4521","4521",826,1,1
"4522","4522",801,1,1
"4523","4523",991,1,1
"4524","4524",1233,1,1
"4525","4505",0,0,0
"4525","4525",877,1,1
"4601","4601",977,1,1
"4602","4602",704,1,1
"4603","4603",849,1,1
"4604","4604",680,1,1
"4605","4605",732,1,1
"4606","4606",933,1,1
"4607","4607",767,1,1
"4608","4608",1215,1,1
"4609","4609",779,1,1
"4610","4610",622,1,1
"4611","4611",762,1,1
"4612","4612",852,1,1
"4613","4613",700,1,1
"4614","4614",635,1,1
"4615","4615",778,1,1
"4616","4616",1114,1,1
"4617","4617",1046,1,1
"4618","4618",796,1,1
"4619","4619",1087,1,1
"4620","4620",826,1,1
"4621","4621",663,1,1
"4622","4622",1344,1,1
"4623","4623",1138,1,1
"4701","4701",657,1,1
"4702","4702",612,1,1
"4703","4703",1036,1,1
"4704","4704",275,1,1
"4705","4705",550,1,1
"4706","4706",715,1,1
"4707","4707",439,1,1
"4708","4708",674,1,1
"4709","4709",388,1,1
"4710","4710",317,1,1
"4711","4711",343,1,1
"4712","4712",1587,1,1
"4713","4713",285,1,1
"4714","4714",267,1,1
"4801","4801",939,1,1
"4802","4802",829,1,1
"4803","4803",946,1,1
"4804","4804",896,1,1
"4805","4805",744,1,1
"4806","4806",754,1,1
"4807","4807",852,1,1
"4808","4808",970,1,1
"4809","4809",820,1,1
"4810","4810",742,1,1
"4811","4811",622,1,1
"4812","4812",999,1,1
"4813","4813",1185,1,1
"4814","2622",0,0,0
"4814","4814",826,1,1
"4815","4815",903,1,1
"4816","4816",899,1,1
"4817","4817",1014,1,1
"4818","4818",848,1,1
"4819","4819",848,1,1
"4820","4820",841,1,1
"4821","4821",1746,1,1
"4822","4822",632,1,1
"4823","4823",886,1,1
"4901","4901",1154,1,1
"4902","4902",1205,1,1
"4903","4903",1551,1,1
"4904","4904",820,1,1
"4905","4905",1120,1,1
"4906","4906",754,1,1
"4907","4907",1055,1,1
"4908","4908",1065,1,1
"4909","4909",2148,1,1
"4910","4910",1102,1,1
"4911","4911",1047,1,1
"4912","4912",1178,1,1
"4913","4913",695,1,1
"4914","4914",921,1,1
"4915","4915",898,1,1
"4916","4916",893,1,1
"4917","4917",1186,1,1
"4918","4918",971,1,1
"4919","4919",1057,1,1
"4920","4920",994,1,1
"4921","4921",1360,1,1
"4922","4922",1360,1,1
"5001","5001",707,1,1
"5002","5002",813,1,1
"5003","5003",888,0.852207293666027,1
"5003","5012",154,0.147792706333973,0.189421894218942
"5004","5004",896,1,1
"5005","5005",777,1,1
"5006","5006",730,1,1
"5007","5007",934,1,1
"5008","5008",933,1,1
"5009","5009",821,1,1
"5010","5010",778,1,1
"5011","5011",587,0.936204146730462,1
"5011","5027",40,0.0637958532695375,0.0568181818181818
"5012","5012",659,1,0.810578105781058
"5013","5013",713,1,1
"5014","5014",693,1,1
"5015","5015",781,1,1
"5016","5016",1065,1,1
"5017","5017",863,1,1
"5018","5018",775,1,1
"5019","5019",1009,1,1
"5020","5020",879,1,1
"5021","5021",951,1,1
"5022","5022",934,1,1
"5023","5023",631,1,1
"5024","5024",992,1,1
"5025","5025",731,1,1
"5026","5026",827,1,1
"5027","5027",664,1,0.943181818181818
"5028","5028",951,1,1
"5029","5029",922,1,1
"5030","5030",766,1,1
"5101","5101",670,1,1
"5102","5102",626,1,1
"5103","5103",832,1,0.926503340757238
"5104","5104",747,1,0.798076923076923
"5105","5105",890,1,1
"5106","5106",802,1,1
"5107","5107",678,1,1
"5108","5103",66,0.102167182662539,0.0734966592427617
"5108","5108",580,0.897832817337461,1
"5109","5109",654,1,1
"5110","5110",617,1,1
"5111","5111",607,1,1
"5112","5112",799,1,1
"5113","5113",827,1,1
"5114","5114",876,1,1
"5115","5115",801,1,1
"5116","5116",720,1,1
"5117","5117",806,1,1
"5118","5118",803,1,1
"5119","5119",623,1,1
"5120","5104",189,0.265822784810127,0.201923076923077
"5120","5120",522,0.734177215189873,1
"5121","5121",694,1,1
"5122","5122",785,1,1
"5123","5123",678,1,1
"5124","5124",830,1,1
"5125","5125",967,1,1
"5126","5126",643,1,1
"5127","5127",629,1,1
"5128","5128",784,1,1
"5201","5201",620,1,1
"5202","5202",214,1,0.338607594936709
"5203","5203",1121,1,1
"5204","5204",619,1,1
"5205","5205",1460,1,1
"5206","5202",418,0.379654859218892,0.661392405063291
"5206","5206",683,0.620345140781108,1
"5207","5207",211,1,1
"5208","5208",1224,1,1
"5209","5209",1169,1,1
"5210","5210",745,1,1
"5211","5211",1059,1,1
"5212","5212",719,1,1
"5213","5213",1000,1,1
"5214","5214",1237,1,1
"5215","5215",896,1,1
"5216","5216",1197,1,1
"5217","5217",997,1,1
"5218","5218",839,1,1
"5219","5219",786,1,1
"5220","3425",534,0.408256880733945,0.311915887850467
"5220","5220",774,0.591743119266055,1
"5221","5221",923,1,1
"5222","5222",834,1,1
"5223","5223",858,1,1
"5224","5224",834,1,1
"5225","5225",964,1,1
"5226","5226",894,1,1
"5227","5227",928,1,1
"5228","5228",1296,1,1
"5301","5301",1131,1,1
"5302","5302",1244,1,1
"5303","5303",1157,1,1
"5304","5304",1141,1,1
"5305","5305",1356,1,1
"5306","5306",1020,1,1
"5307","5307",1240,1,1
"5308","5308",997,1,1
"5309","5309",964,1,1
"5310","5310",938,1,1
"5311","5311",971,1,1
"5312","5312",1127,1,1
"5313","5313",1274,1,1
"5314","5314",1034,1,1
"5315","5315",992,1,1
"5316","5316",995,1,1
"5317","5317",938,1,1
"5318","5318",1136,1,1
"5319","5319",1073,1,1
"5320","5320",1082,1,1
"5321","5321",1202,1,1
"5322","5322",1013,1,1
"5323","5323",958,1,1
"5401","5401",989,1,1
"5402","5402",1223,1,1
"5403","5403",1063,1,1
"5404","5404",980,1,1
"5405","5405",1077,1,1
"5406","5406",1213,1,1
"5407","5407",1144,1,1
"5408","5408",1086,1,1
"5409","5409",1307,1,1
"5410","5410",1167,1,1
"5411","5411",1066,1,1
"5412","5412",1323,1,1
"5413","5413",1208,1,1
"5414","5414",869,1,1
"5415","5415",866,1,1
"5416","5416",1200,1,1
"5417","5417",982,1,1
"5418","5418",1035,1,1
"5419","5419",890,1,1
"5420","5420",1130,1,1
"5421","5421",1026,1,1
"5422","5422",1029,1,1
"5501","5501",932,1,1
"5502","5502",1178,1,1
"5503","5503",1096,1,1
"5504","5504",896,1,1
"5505","5505",1027,1,1
"5506","5506",919,1,1
"5507","5507",1138,1,1
"5508","5508",872,1,1
"5509","5509",822,1,1
"5510","5510",902,1,1
"5511","5511",951,1,1
"5512","5512",951,1,1
"5513","5513",824,1,1
"5514","5514",966,1,1
"5515","5515",989,1,1
"5516","5516",1016,1,1
"5517","5517",1017,1,1
"5518","5518",924,1,1
"5519","5519",876,1,1
"5520","5520",854,1,1
"5521","5521",959,1,1
"5522","5522",799,1,1
"5523","5523",698,1,1
"5524","5524",1000,1,1
"5525","5525",1006,1,1
"5526","5526",1034,1,1
"5527","5527",792,1,1
"5528","5528",769,1,1
"5529","5529",964,1,1
"5601","5601",1149,1,1
"5602","5602",775,1,1
"5603","5603",883,1,1
"5604","5604",869,1,1
"5605","5605",1011,1,1
"5606","5606",1036,1,1
"5607","5607",1140,1,1
"5608","5608",1283,1,1
"5609","5609",896,1,1
"5610","5610",790,1,1
"5611","5611",886,1,1
"5612","5612",979,1,1
"5613","5613",856,1,1
"5614","5614",777,1,1
"5615","5615",756,1,1
"5616","5616",947,1,1
"5617","5617",1004,1,1
"5618","5618",730,1,1
"5619","5619",1519,1,1
"5620","5620",734,1,1
"5621","5621",1179,1,1
"5622","5622",1070,1,1
"5623","5623",1162,1,1
"5624","5624",1046,1,1
"5625","5625",963,1,1
"5626","5626",870,1,1
"5627","5627",591,1,1
"5628","5628",856,1,1
"5629","5629",625,1,1
"5630","5630",1789,1,1
"5631","5631",1269,1,1
"5632","5632",636,1,1
"5633","5633",820,1,1
"5634","5634",589,1,1
"5635","5635",1043,1,1
"5636","5636",727,1,1
"5637","5637",836,1,1
"5638","5638",801,1,1
"5639","5639",1630,1,1
"5640","5640",874,1,1
"5641","5641",1513,1,1
"5701","5701",900,1,1
"5702","5702",1255,1,1
"5703","5703",990,1,1
"5704","5704",710,1,1
"5705","5705",688,1,1
"5706","5706",1576,1,1
"5707","5707",1024,1,1
"5708","5708",1150,1,1
"5709","5709",803,1,1
"5710","5710",1279,1,1
"5711","5711",945,1,1
"5712","5712",911,1,1
"5713","5713",937,1,1
"5714","5714",818,1,1
"5715","5715",1011,1,1
"5716","5716",756,1,1
"5717","5717",744,1,1
"5718","5718",997,1,1
"5719","5719",741,1,1
"5720","5720",769,1,1
"5721","5721",686,1,1
"5722","5722",622,1,1
"5723","5723",1040,1,1
"5724","5724",908,1,1
"5725","5725",809,1,1
"5726","5726",927,1,1
"5727","5727",1878,1,1
"5728","5728",665,1,1
"5801","5801",1029,1,1
"5802","5802",1368,1,1
"5803","5803",1874,1,1
"5804","5804",1001,1,1
"5805","5805",2053,1,1
"5806","5806",941,1,1
"5807","5807",778,1,1
"5808","5808",1648,1,1
"5809","5809",1195,1,1
"5810","5810",986,1,1
"5811","5811",1190,1,1
"5812","5812",1096,1,1
"5813","5813",822,1,1
"5814","5814",742,1,1
"5815","5815",871,1,1
"5816","5816",762,1,0.932680538555692
"5817","5817",949,1,1
"5818","5818",1589,1,1
"5819","5819",1796,1,1
"5820","5820",1469,1,1
"5821","5821",1033,1,1
"5822","5822",731,1,1
"5823","5823",1249,1,1
"5824","5824",856,1,1
"5825","5825",1054,1,1
"5826","5816",55,0.0542406311637081,0.0673194614443084
"5826","5826",959,0.945759368836292,1
"5827","5827",1312,1,1
"5828","5828",974,1,1
"5829","5829",1453,1,1
"5830","5830",979,1,1
"5831","5831",1327,1,1
"5832","5832",791,1,1
"5833","5833",1590,0.921739130434783,1
"5833","5836",135,0.0782608695652174,0.122061482820976
"5834","5834",925,1,1
"5835","5835",1437,1,1
"5836","5836",971,1,0.877938517179023
"5837","5837",1062,1,1
"5838","5838",1457,1,1
"5839","5839",876,1,1
"5840","5840",870,1,1
"5841","5841",1177,1,1
"5842","5842",836,1,1
"5843","5843",715,1,1
"5844","5844",881,1,1
"5901","5901",1003,1,1
"5902","5902",919,1,1
"5903","5903",810,1,1
"5904","5904",1008,1,1
"5905","5905",878,1,1
"5906","5906",685,1,1
"5907","5907",861,1,1
"5908","5908",821,1,1
"5909","5909",731,1,1
"5910","5910",1309,1,1
"5911","5911",670,1,1
"5912","5912",714,1,1
"5913","5913",1049,1,1
"5914","5914",646,1,1
"5915","5915",699,1,1
"5916","5916",902,1,1
"5917","5917",1214,1,1
"5918","5918",749,1,1
"5919","5919",984,1,1
"5920","5920",763,1,1
"5921","5921",918,1,1
"5922","5922",767,1,1
"5923","5923",623,1,1
"5924","5924",577,1,1
"5925","5925",787,1,1
"6001","6001",497,1,1
"6002","6002",846,1,1
"6003","6003",621,1,1
"6004","6004",710,1,1
"6005","6005",922,1,1
"6006","6006",854,1,1
"6007","6007",688,1,1
"6008","6008",639,1,1
"6009","6009",1078,1,1
"6010","6010",554,1,1
"6011","6011",835,1,1
"6012","6012",668,1,1
"6013","6013",530,1,1
"6014","6014",862,1,1
"6015","6015",688,1,1
"6016","6016",736,1,1
"6017","6017",891,1,1
"6018","6018",751,1,1
"6019","6019",738,1,1
"6020","6020",705,1,1
"6021","6021",540,1,1
"6022","6022",566,1,1
"6023","6023",918,1,1
"6101","6101",1005,1,1
"6102","6102",965,1,1
"6103","6103",1311,1,1
"6104","6104",1181,1,1
"6105","6105",1140,1,1
"6106","6106",1345,1,1
"6107","6107",1174,1,1
"6108","6108",1137,1,1
"6109","6109",1276,1,1
"6110","6110",1328,1,1
"6111","6111",1080,1,1
"6112","6112",1288,1,1
"6113","6113",1169,1,1
"6114","6114",1165,1,1
"6115","6115",1047,1,1
"6116","6116",1052,1,1
"6117","6117",782,1,1
"6118","6118",1377,1,1
"6119","6119",993,1,1
"6120","6120",720,1,1
"6121","6121",1187,1,1
"6122","6122",867,1,1
"6123","6123",981,1,1
"6124","6124",881,1,1
"6125","6125",834,1,1
"6126","6126",823,1,1
"6127","6127",889,1,1
"6128","6128",731,1,1
"6201","4101",0,0,0
"6201","6201",1494,1,1
"6202","6202",1276,1,1
"6203","6203",849,1,1
"6204","6204",1300,1,1
"6205","6205",859,1,0.93879781420765
"6206","6206",1253,1,1
"6207","6207",1273,1,1
"6208","6208",1128,1,1
"6209","6209",1104,1,1
"6210","6210",988,1,1
"6211","6211",1395,1,1
"6212","6212",952,1,1
"6213","6213",1391,1,1
"6214","6214",1168,1,1
"6215","6215",1087,1,1
"6216","6216",1063,1,1
"6217","6217",1182,1,1
"6218","6218",879,1,1
"6219","6205",56,0.0569684638860631,0.0612021857923497
"6219","6219",927,0.943031536113937,1
"6220","6220",1070,1,1
"6221","6221",833,1,1
"6222","6222",974,1,1
"6223","6223",806,1,1
"6224","6224",1047,1,1
"6225","6225",1016,1,1
"6226","6226",1050,1,1
"6301","6301",984,1,1
"6302","6302",848,1,1
"6303","6303",1268,1,1
"6304","6304",1129,1,1
"6305","6305",769,1,1
"6306","6306",1209,1,1
"6307","6307",30,0.0275482093663912,1
"6307","6311",1059,0.972451790633609,0.720408163265306
"6308","6308",887,1,1
"6309","6309",1122,1,1
"6310","6310",1059,1,1
"6311","6311",98,0.121739130434783,0.0666666666666667
"6311","6323",707,0.878260869565217,0.499293785310734
"6312","6312",938,1,1
"6313","6313",1186,1,1
"6314","6314",871,1,1
"6315","6315",962,1,1
"6316","6316",702,1,1
"6317","6317",635,1,1
"6318","6318",791,1,1
"6319","6319",732,1,1
"6320","6320",794,1,1
"6321","6321",714,1,1
"6322","6322",988,1,1
"6323","6311",313,0.306262230919765,0.212925170068027
"6323","6323",709,0.693737769080235,0.500706214689266
"6324","6324",666,1,1
"6325","6325",782,1,1
"6401","6401",1054,1,1
"6402","6402",945,1,1
"6403","6403",1016,1,1
"6404","6404",949,1,1
"6405","6405",1260,1,1
"6406","6406",915,1,1
"6407","6407",1139,1,1
"6408","6408",803,1,1
"6409","6409",801,1,1
"6410","6410",860,1,1
"6411","6411",841,1,1
"6412","6412",860,1,1
"6413","6413",804,1,1
"6414","6414",727,1,1
"6415","6415",1400,1,1
"6416","6416",927,1,1
"6417","6417",824,1,1
"6418","6418",1112,1,1
"6501","6501",1021,1,1
"6502","6502",961,1,1
"6503","6503",854,1,1
"6504","6504",969,1,1
"6505","6505",836,1,1
"6506","6506",578,1,1
"6507","6507",5642,1,1
"6508","6508",965,1,1
"6509","6509",1151,1,1
"6510","6510",1680,1,1
"6511","6511",1254,1,0.993660855784469
"6512","6512",3587,1,0.998330086278876
"6513","6513",846,1,1
"6514","6514",756,1,1
"6515","6515",952,1,1
"6516","6511",8,0.00852878464818763,0.0063391442155309
"6516","6516",930,0.991471215351812,1
"6517","6517",1119,1,1
"6518","6518",986,1,1
"6519","6519",840,1,1
"6520","6520",2010,1,1
"6521","6521",858,1,1
"6522","6522",971,1,1
"6523","6523",820,1,1
"6601","6601",1068,1,1
"6602","6602",595,1,1
"6603","6603",751,1,1
"6604","6604",617,1,1
"6605","6605",1293,1,1
"6606","6606",614,1,1
"6607","6607",663,1,1
"6608","6608",2029,1,1
"6609","6609",848,1,1
"6610","6610",838,1,1
"6611","6611",749,1,1
"6612","6612",1094,1,1
"6613","6613",675,1,1
"6614","6614",1003,1,1
"6615","6615",1355,1,1
"6616","6616",580,1,1
"6617","6617",796,1,1
"6618","6618",882,1,1
"6619","6627",794,1,1
"6620","6620",1089,1,1
"6621","6621",1559,1,1
"6622","6622",1628,1,1
"6623","6623",1091,1,1
"6624","6624",751,1,1
"6625","6625",603,1,1
"6626","6626",1019,1,1
"6627","6619",1010,1,1
"6628","6628",918,1,1
"6629","6629",993,1,1
"6630","6630",874,1,1
"6631","6631",897,1,1
"6632","6632",1121,1,1
"6633","6633",1136,1,1
"6634","6634",769,1,1
"6635","6635",1178,1,1
"6636","6636",1186,1,1
"6637","6637",984,1,1
"6638","6638",976,1,1
"6639","6639",1114,1,1
"6640","6640",726,1,1
"6641","6641",1381,1,1
"6642","6642",721,1,1
"6643","6643",1037,1,1
"6644","6644",796,1,1
"6645","6645",647,1,1
"6646","6646",798,1,1
